participant_id,expert_group,age,experience,image,study,dr_score,dmo_score,dr_grade,dmo_grade,time_sec,zoom_1.0,zoom_1.5,zoom_2.25,zoom_3.375,zoom_5.0625,zoom_7.59375,zoom_11.390625,zoom_17.0859375
1935,Optometrist,33,7,20170519153000176_1140x848,tracking,0,1,3,0,51.13646999999992,625,1417,344,338,216,106,0,0
1935,Optometrist,33,7,20170521094743135_1140x848,tracking,-1,1,1,0,27.280279999999948,266,90,1465,148,0,0,0,0
1051,Optometrist,31,4,007-0028-000_1140x848,thinkaloud,3,0,3,0,30.745609999999942,1939,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-0055-000_1140x848,thinkaloud,1,0,1,0,29.581049999999777,1846,178,0,29,0,0,0,0
1051,Optometrist,31,4,007-0142-000_1140x848,thinkaloud,3,0,3,0,27.695799999999508,1891,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-0323-000_1140x848,thinkaloud,0,0,0,0,28.223140000000058,953,613,9,436,25,0,0,0
1051,Optometrist,31,4,007-1774-100_1140x848,thinkaloud,0,1,1,0,17.508299999999508,665,334,105,17,61,0,0,0
1051,Optometrist,31,4,007-2252-100_1140x848,thinkaloud,2,100,3,-1,48.990240000000085,1422,362,6,1134,110,7,39,0
1051,Optometrist,31,4,007-2469-100_1140x848,thinkaloud,0,1,1,0,22.165530000000217,1230,36,59,254,0,0,0,0
1051,Optometrist,31,4,007-2477-100_1140x848,thinkaloud,0,1,1,0,9.329099999999926,674,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-2840-100_1140x848,thinkaloud,1,100,2,-1,29.510260000000017,1064,417,0,537,0,0,0,0
1051,Optometrist,31,4,007-4250-200_1140x848,thinkaloud,2,2,4,1,39.672849999999926,1514,328,150,527,10,99,0,0
1051,Optometrist,31,4,007-4850-300_1140x848,thinkaloud,0,100,3,-1,20.225099999999657,1401,6,42,5,0,0,0,0
1051,Optometrist,31,4,007-5457-300_1140x848,thinkaloud,0,100,3,-1,18.353030000000217,932,27,274,36,3,5,25,0
1051,Optometrist,31,4,007-6320-400_1140x848,thinkaloud,-2,1,2,0,40.49073000000044,2145,356,21,7,121,8,18,0
1051,Optometrist,31,4,007-6573-400_1140x848,thinkaloud,0,100,4,-1,8.108400000000074,142,0,0,425,0,0,0,0
